tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Timbavati	TG01-3	TG01	TG01-3	TG01-3:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	823	K		u	0.0	190.6	l	2.0	1.7	2	100
	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	823	K		u	0.0	188.7	l	8.3	0.3	2	-1
	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	823	K		u	0.0	188.7	l	8.3	0.3	2	0
	This study	Timbavati	TG01-4	TG01	TG01-4	TG01-4:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	823	K		u	0.0	188.7	l	8.3	0.3	2	100
	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	194.9	l	6.1	1.6	3	-1
	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	194.9	l	6.1	1.6	3	0
	This study	Timbavati	TG01-5	TG01	TG01-5	TG01-5:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	194.9	l	6.1	1.6	3	100
	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	823	K		u	0.0	190.3	l	3.4	1.0	2	-1
	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	823	K		u	0.0	190.3	l	3.4	1.0	2	0
	This study	Timbavati	TG01-6	TG01	TG01-6	TG01-6:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	823	K		u	0.0	190.3	l	3.4	1.0	2	100
	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	823	K		u	0.0	191.9	l	3.3	1.2	2	-1
	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	823	K		u	0.0	191.9	l	3.3	1.2	2	0
	This study	Timbavati	TG01-7	TG01	TG01-7	TG01-7:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	823	K		u	0.0	191.9	l	3.3	1.2	2	100
	This study	Timbavati	TG01-8	TG01	TG01-8	TG01-8:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	190.3	l	2.6	1.7	3	-1
	This study	Timbavati	TG01-8	TG01	TG01-8	TG01-8:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	190.3	l	2.6	1.7	3	0
	This study	Timbavati	TG01-8	TG01	TG01-8	TG01-8:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-2.220	848	773	K		u	0.0	190.3	l	2.6	1.7	3	100
	This study	Timbavati	TG01-9	TG01	TG01-9	TG01-9:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-2.220	848	773	K		u	0.0	189.1	l	2.0	1.0	3	-1
	This study	Timbavati	TG01-9	TG01	TG01-9	TG01-9:LP-DIR-AF:LP-DIR-T		LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-2.220	848	773	K		u	0.0	189.1	l	2.0	1.0	3	0
