tab	er_samples
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_dip	sample_bed_dip_direction	sample_bed_dip	magic_method_codes	sample_azimuth
This study	JP24-6	JP24	Botswana	intrusive	Dolerite	sill	-22.9	26.4	0	237.0	7.0	SO-NO	0
This study	JP26-1	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
This study	JP26-2	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
This study	JP26-3	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.1	15.0	SO-NO	0
This study	JP26-4	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
This study	JP26-5	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
This study	JP26-6	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.0	15.0	SO-NO	0
This study	JP26-7	JP26	Botswana	intrusive	Dolerite	sill	-23.1	26.7	0	210.2	15.3	SO-NO	0
This study	JP27-1	JP27	Botswana	intrusive	Dolerite	sill	-22.7	26.7	0	0.0	0.0	SO-NO	0
This study	JP27-2	JP27	Botswana	intrusive	Dolerite	sill	-22.7	26.7	0	0.0	0.0	SO-NO	0
This study	JP27-3	JP27	Botswana	intrusive	Dolerite	sill	-22.7	26.7	0	0.0	0.0	SO-NO	0
This study	JP27-4	JP27	Botswana	intrusive	Dolerite	sill	-22.7	26.7	0	0.0	0.0	SO-NO	0
This study	JP27-5	JP27	Botswana	intrusive	Dolerite	sill	-22.7	26.7	0	0.0	0.0	SO-NO	0
This study	JP27-6	JP27	Botswana	intrusive	Dolerite	sill	-22.7	26.7	0	0.0	0.0	SO-NO	0
This study	JP27-7	JP27	Botswana	intrusive	Dolerite	sill	-22.7	26.7	0	0.0	0.0	SO-NO	0
This study	JP29-1	JP29	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	175.0	7.0	SO-NO	0
This study	JP29-2	JP29	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	175.0	7.0	SO-NO	0
This study	JP29-3	JP29	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	175.1	7.0	SO-NO	0
This study	JP29-4	JP29	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	175.0	7.0	SO-NO	0
This study	JP29-5	JP29	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	175.0	7.0	SO-NO	0
This study	JP29-6	JP29	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	175.0	7.0	SO-NO	0
This study	JP3-1	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP3-10	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP3-2	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP3-3	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.4	6.0	SO-NO	0
This study	JP3-4	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP3-5	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP3-6	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.9	6.0	SO-NO	0
This study	JP3-7	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.7	6.0	SO-NO	0
This study	JP3-8	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	210.0	6.0	SO-NO	0
This study	JP3-9	JP3	Botswana	intrusive	Dolerite	sill	-24.7	25.9	0	209.9	6.0	SO-NO	0
This study	JP30-1	JP30	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	103.0	5.0	SO-NO	0
This study	JP30-2	JP30	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	102.9	5.0	SO-NO	0
This study	JP30-3	JP30	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	102.9	5.0	SO-NO	0
This study	JP30-4	JP30	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	103.1	5.0	SO-NO	0
This study	JP30-5	JP30	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	102.9	5.0	SO-NO	0
This study	JP30-6	JP30	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	103.0	5.0	SO-NO	0
This study	JP30-7	JP30	Botswana	intrusive	Dolerite	sill	-22.7	26.6	0	102.9	5.0	SO-NO	0
