tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_temp
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	345.36	g	-4.79	4.142e-05	1	u	273.		473.0
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	343.92	g	0.09	3.923e-05	2	u	273.	0.0025	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	339.53	g	0.14	3.917e-05	3	u	273.	0.0050	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	343.61	g	1.61	3.857e-05	4	u	273.	0.0100	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	341.74	g	5.92	2.827e-05	5	u	273.	0.0200	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	343.26	g	8.79	2.468e-05	6	u	273.	0.0300	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	338.04	g	8.92	2.163e-05	7	u	273.	0.0400	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	338.58	g	10.96	1.684e-05	8	u	273.	0.0600	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	340.03	g	9.97	1.670e-05	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP1-6	JP1	JP1-6	JP1-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	337.6	g	11.77	1.894e-05	10	u	273.	0.0999	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	107.61	g	41.91	1.493e-01	0	u	273.		273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	106.08	g	44.17	1.350e-01	1	u	273.		473.0
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	101.88	g	45.53	7.945e-02	2	u	273.	0.0100	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	111.02	g	42.38	3.561e-02	3	u	273.	0.0200	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	107.52	g	40.93	1.200e-02	4	u	273.	0.0300	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	114.18	g	39.4	3.367e-03	5	u	273.	0.0400	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	109.29	g	37.29	1.060e-03	6	u	273.	0.0500	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	117.35	g	36.93	4.775e-04	7	u	273.	0.0600	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	111.91	g	40.47	2.456e-04	8	u	273.	0.0700	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	113.62	g	38.38	2.023e-04	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	113.13	g	38.81	1.422e-04	10	u	273.	0.0900	273.
Tk	This study	Botswana	JP8-3	JP8	JP8-3	JP8-3:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	111.82	g	37.13	1.063e-04	11	u	273.	0.0999	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	107.86	g	68.57	3.546e-02	0	u	273.		273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	97.42	g	68	3.412e-02	1	u	273.		473.0
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	91.65	g	68.6	3.137e-02	2	u	273.	0.0100	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	83.57	g	74.09	2.083e-02	3	u	273.	0.0200	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	78.32	g	69.24	8.544e-03	4	u	273.	0.0300	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	76.82	g	66.56	3.047e-03	5	u	273.	0.0400	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	81.49	g	62.62	1.197e-03	6	u	273.	0.0500	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	85.14	g	61.22	4.929e-04	7	u	273.	0.0600	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	89.66	g	60.07	2.141e-04	8	u	273.	0.0700	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	93.37	g	58.38	1.368e-04	9	u	273.	0.0800	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	128.82	g	63.56	9.024e-06	10	u	273.	0.0900	273.
Tk	This study	Botswana	JP6-6	JP6	JP6-6	JP6-6:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	152.75	g	62.71	4.995e-06	11	u	273.	0.0999	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-NO:LP-DIR-T:LP-DIR-AF	207.64	g	52.86	7.801e-02	0	u	273.		273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-T-Z:LP-DIR-T:LP-DIR-AF	211.05	g	51.78	7.423e-02	1	u	273.		473.0
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	207.74	g	53.96	5.986e-02	2	u	273.	0.0100	273.
Tk	This study	Botswana	JP6-4	JP6	JP6-4	JP6-4:LP-DIR-T:LP-DIR-AF		LT-AF-Z:LP-DIR-T:LP-DIR-AF	208.67	g	52	4.621e-02	3	u	273.	0.0200	273.
