tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:15:25.00	36.85678141	g	-22.74336721	2.30E-06	1206039	0.467	u		0.005		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:15:41.00	48.40063165	g	-24.76022334	1.62E-06	1206040	0.667	u		0.005		
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:15:56.00	252.6913863	g	-35.30309848	3.36E-07	1206041	0.867	u		0.005		
This study	Botswana 2012	Suping Sill	PW11-6	PW11	PW11-6a	"PW11-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:16:11.00	267.8414347	g	-11.42204061	5.04E-07	1206042	1.067	u		0.005		
This study	Botswana 2012	Suping Sill	PW11-7	PW11	PW11-7a	"PW11-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:16:26.00	235.1891143	g	-20.3963222	1.19E-06	1206043	1.267	u		0.005		
This study	Botswana 2012	Suping Sill	PW11-8	PW11	PW11-8a	"PW11-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:16:41.00	248.5289551	g	-26.18137159	7.19E-07	1206044	1.467	u		0.005		
This study	Botswana 2012	Suping Sill	PW11-1	PW11	PW11-1a	"PW11-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:20:16.00	52.66669618	g	-11.47039519	8.75E-07	1206046	0.067	u		0.0075		
This study	Botswana 2012	Suping Sill	PW11-2	PW11	PW11-2a	"PW11-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:20:31.00	63.10870724	g	10.77472785	6.92E-07	1206047	0.267	u		0.0075		
This study	Botswana 2012	Suping Sill	PW11-3	PW11	PW11-3a	"PW11-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:20:46.00	43.57413408	g	-18.81984558	1.61E-06	1206048	0.467	u		0.0075		
This study	Botswana 2012	Suping Sill	PW11-4	PW11	PW11-4a	"PW11-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:21:02.00	55.64496849	g	-20.00318218	1.13E-06	1206049	0.667	u		0.0075		
This study	Botswana 2012	Suping Sill	PW11-5	PW11	PW11-5a	"PW11-5a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:03:14:12:21:17.00	241.5162722	g	-20.99289245	3.76E-07	1206050	0.867	u		0.0075		
