tab 	pmag_specimens																				
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Botswana 2012	Kgale Peak Sill	PW2-7	Botswana	PW2-7a	"PW2-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	1.70E-01	6.00E-02	T		u	1.2	251.3	l	-43.2	1.6	8	100
This study	Botswana 2012	Kgale Peak Sill	PW2-8	Botswana	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL-O:DA-DIR	pmagpy-3.2.1	1.70E-01	1.20E-01	T		u	0.6	299.5	l	72.5	3.7	4	-1
This study	Botswana 2012	Kgale Peak Sill	PW2-8	Botswana	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL-O:DA-DIR-GEO	pmagpy-3.2.1	1.70E-01	1.20E-01	T		u	0.6	179.4	l	14.6	3.7	4	0
This study	Botswana 2012	Kgale Peak Sill	PW2-8	Botswana	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL-O:DA-DIR-TILT	pmagpy-3.2.1	1.70E-01	1.20E-01	T		u	0.6	180.3	l	10.4	3.7	4	100
This study	Botswana 2012	Kgale Peak Sill	PW2-9	Botswana	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL-O:DA-DIR	pmagpy-3.2.1	1.70E-01	1.20E-01	T		u	3.2	269.7	l	87.1	6.1	4	-1
This study	Botswana 2012	Kgale Peak Sill	PW2-9	Botswana	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL-O:DA-DIR-GEO	pmagpy-3.2.1	1.70E-01	1.20E-01	T		u	3.2	193.7	l	16	6.1	4	0
This study	Botswana 2012	Kgale Peak Sill	PW2-9	Botswana	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL-O:DA-DIR-TILT	pmagpy-3.2.1	1.70E-01	1.20E-01	T		u	3.2	194.5	l	10.8	6.1	4	100
This study	Botswana 2012	Lentsweletau Sill	PW20-1	Botswana	PW20-1a	"PW20-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	7.00E-02	1.50E-02	T		u	3.7	275.1	l	-15	1.4	8	-1
This study	Botswana 2012	Lentsweletau Sill	PW20-1	Botswana	PW20-1a	"PW20-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	7.00E-02	1.50E-02	T		u	3.7	184.4	l	-15.5	1.4	8	0
This study	Botswana 2012	Lentsweletau Sill	PW20-1	Botswana	PW20-1a	"PW20-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	7.00E-02	1.50E-02	T		u	3.7	184.5	l	-12.6	1.4	8	100
This study	Botswana 2012	Lentsweletau Sill	PW20-2	Botswana	PW20-2a	"PW20-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	8.00E-02	2.00E-02	T		u	1.3	205.7	l	13.3	0.3	8	-1
This study	Botswana 2012	Lentsweletau Sill	PW20-2	Botswana	PW20-2a	"PW20-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	8.00E-02	2.00E-02	T		u	1.3	57.5	l	37.1	0.3	8	0
This study	Botswana 2012	Lentsweletau Sill	PW20-2	Botswana	PW20-2a	"PW20-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	8.00E-02	2.00E-02	T		u	1.3	56	l	34.9	0.3	8	100
This study	Botswana 2012	Lentsweletau Sill	PW20-3	Botswana	PW20-3a	"PW20-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	4.7	79.2	l	-22.5	11.4	5	-1
This study	Botswana 2012	Lentsweletau Sill	PW20-3	Botswana	PW20-3a	"PW20-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-GEO	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	4.7	191.7	l	-24.2	11.4	5	0
This study	Botswana 2012	Lentsweletau Sill	PW20-3	Botswana	PW20-3a	"PW20-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR-TILT	pmagpy-3.2.1	8.00E-02	4.00E-02	T		u	4.7	191.7	l	-21.2	11.4	5	100
This study	Botswana 2012	Lentsweletau Sill	PW20-4	Botswana	PW20-4a	"PW20-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LP-DIR-AF:DE-BFL:DA-DIR	pmagpy-3.2.1	1.70E-01	1.50E-02	T		u	2.5	149	l	29	0.5	14	-1
