tab	er_specimens								
er_citation_names	er_specimen_name	er_sample_name	er_site_name	er_location_name	specimen_class	specimen_lithology	specimen_type	specimen_weight	er_expedition_name
This study	PW18-17a	PW18-17	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0050623	Botswana 2012
This study	PW18-18a	PW18-18	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0055877	Botswana 2012
This study	PW18-1a	PW18-1	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0055669	Botswana 2012
This study	PW18-2a	PW18-2	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0055879	Botswana 2012
This study	PW18-3a	PW18-3	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.005354	Botswana 2012
This study	PW18-4a	PW18-4	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0058573	Botswana 2012
This study	PW18-6a	PW18-6	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0059607	Botswana 2012
This study	PW18-7a	PW18-7	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0059256	Botswana 2012
This study	PW18-8a	PW18-8	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0050302	Botswana 2012
This study	PW18-9a	PW18-9	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0046554	Botswana 2012
This study	PW18-1b	PW18-1	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW18-2b	PW18-2	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW18-3b	PW18-3	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW18-4b	PW18-4	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW18-6b	PW18-6	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW18-7b	PW18-7	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
This study	PW19-10a	PW19-10	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.004913	Botswana 2012
This study	PW19-11a	PW19-11	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.005107	Botswana 2012
This study	PW19-12a	PW19-12	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0048594	Botswana 2012
This study	PW19-1a	PW19-1	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0046757	Botswana 2012
This study	PW19-4a	PW19-4	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0047533	Botswana 2012
This study	PW19-5a	PW19-5	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0047243	Botswana 2012
This study	PW19-8a	PW19-8	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0054493	Botswana 2012
This study	PW19-9a	PW19-9	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	0.0049986	Botswana 2012
This study	PW19-10b	PW19-10	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill		Botswana 2012
