tab	er_samples													
er_citation_names	er_sample_name	er_site_name	er_location_name	sample_class	sample_lithology	sample_type	sample_lat	sample_lon	sample_bed_dip_direction	er_expedition_name	sample_description	sample_bed_dip	sample_dip	sample_azimuth
This study	PW15-5	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-81	209.1
This study	PW15-6	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-78	201.5
This study	PW15-7	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-63	202.5
This study	PW15-8	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1804	25.6919	260.32	Botswana 2012	pmag core	4	-26	188.9
This study	PW16-1	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6916	350.32	Botswana 2012	pmag core	4	-63	357.5
This study	PW16-2	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6916	350.32	Botswana 2012	pmag core	4	-63	1
This study	PW16-3	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6916	350.32	Botswana 2012	pmag core	4	-65	355.1
This study	PW16-4	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6916	350.32	Botswana 2012	pmag core	4	-39	357.8
This study	PW16-5	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6916	350.32	Botswana 2012	pmag core	4	-27	8.2
This study	PW16-6	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6916	350.32	Botswana 2012	pmag core	4	-26	312
This study	PW16-7	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6916	350.32	Botswana 2012	pmag core	4	-33	338.5
This study	PW17-1	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6915	0	Botswana 2012	pmag core	0	-12	287.6
This study	PW17-2	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6915	0	Botswana 2012	pmag core	0	-3	199.8
This study	PW17-3	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6915	0	Botswana 2012	pmag core	0	-39	351.1
This study	PW17-4	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6915	0	Botswana 2012	pmag core	0	-37	353.2
This study	PW17-5	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6915	0	Botswana 2012	pmag core	0	-71	157.5
This study	PW17-6	Mogatelwane 2 Sill	Botswana	Intrusive	Dolerite	Sill	-24.1803	25.6915	0	Botswana 2012	pmag core	0	-75	159.6
This study	PW18-1	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-26	351.6
This study	PW18-10	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-8	201.3
This study	PW18-11	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-39	33.5
This study	PW18-12	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-23	47.1
This study	PW18-13	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-12	54.5
This study	PW18-14	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-9	47.6
This study	PW18-15	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-9	115.3
This study	PW18-16	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-25	116.9
This study	PW18-17	Molepolole Prison Quarry Sill	Botswana	Intrusive	Dolerite	Sill	-24.3762	25.4688	290.1	Botswana 2012	pmag core	4	-72	170.2
