tab 	magic_measurements																										
er_citation_names	er_expedition_name	er_site_name	er_sample_name	er_location_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_positions	measurement_standard	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:58:17.00	-10.56306842		g	42.26694377	4.71E-06	1174616	0.467		u					0.005		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:58:32.00	5.04797509		g	31.29455777	2.75E-07	1174617	0.667		u					0.005		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:58:48.00	20.5995556		g	25.55656486	6.22E-06	1174618	0.867		u					0.005		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:59:03.00	-6.268362963		g	24.08752787	7.14E-06	1174619	1.067		u					0.005		
This study	Botswana 2012	Kgale Peak Sill	PW1-8	Botswana	PW1-8a	"PW1-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:59:18.00	-3.289396289		g	27.54627938	6.02E-06	1174620	1.267		u					0.005		
This study	Botswana 2012	Kgale Peak Sill	PW1-10	Botswana	PW1-10a	"PW1-10a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:11:59:33.00	-15.77387656		g	47.39508544	2.84E-07	1174621	1.467		u					0.005		
This study	Botswana 2012	Kgale Peak Sill	PW1-1	Botswana	PW1-1a	"PW1-1a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:07:08.00	54.95533017		g	8.375423376	1.92E-06	1174623	0.067		u					0.0075		
This study	Botswana 2012	Kgale Peak Sill	PW1-2	Botswana	PW1-2a	"PW1-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:07:23.00	57.60787157		g	4.47785453	3.69E-06	1174624	0.267		u					0.0075		
This study	Botswana 2012	Kgale Peak Sill	PW1-3	Botswana	PW1-3a	"PW1-3a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:07:38.00	-10.32838322		g	42.24639541	4.71E-06	1174625	0.467		u					0.0075		
This study	Botswana 2012	Kgale Peak Sill	PW1-4	Botswana	PW1-4a	"PW1-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:07:53.00	3.760748014		g	31.80660151	2.43E-07	1174626	0.667		u					0.0075		
This study	Botswana 2012	Kgale Peak Sill	PW1-6	Botswana	PW1-6a	"PW1-6a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:08:08.00	20.81044383		g	25.50777694	6.25E-06	1174627	0.867		u					0.0075		
This study	Botswana 2012	Kgale Peak Sill	PW1-7	Botswana	PW1-7a	"PW1-7a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z			2013:02:27:12:08:23.00	-6.482320761		g	24.08666948	7.14E-06	1174628	1.067		u					0.0075		
