tab 	er_expeditions
expedition_description	expedition_start_lon	er_expedition_name	expedition_start_loc	expedition_start_lat	er_citation_names
sampling Umkondo sills in southern Botswana to complement the existing number of cooling units	25.86	Botswana 2012	"-24.6878,25.8622"	-24.6878	This study
>>>>>>>>>>
tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_description	location_begin_lat	location_end_lon
Region	This study:10.1029/2005JB003897	-25	25.00	Botswana	Region of Umkondo sills in southern Botswana	-22	27.50
>>>>>>>>>>
tab 	er_samples
sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_type	sample_azimuth	er_location_name	er_expedition_name	sample_lat	sample_dip	sample_bed_dip	sample_lon	sample_class
0.00	This study	Dolerite	Gajong Donut Sill	PW13-7	pmag core	Sill	106.10	Botswana	Botswana 2012	-24.2558	-7	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-8	pmag core	Sill	200.80	Botswana	Botswana 2012	-24.2558	-11	0	25.65	Intrusive
0.00	This study	Dolerite	Gajong Donut Sill	PW13-9	pmag core	Sill	152.00	Botswana	Botswana 2012	-24.2558	-9	0	25.65	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-1	pmag core	Sill	118.00	Botswana	Botswana 2012	-24.1807	-17	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-10	pmag core	Sill	95.10	Botswana	Botswana 2012	-24.1807	-17	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-11	pmag core	Sill	59.80	Botswana	Botswana 2012	-24.1807	-22	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-12	pmag core	Sill	77.20	Botswana	Botswana 2012	-24.1807	-22	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-2	pmag core	Sill	117.80	Botswana	Botswana 2012	-24.1807	-16	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-3	pmag core	Sill	105.70	Botswana	Botswana 2012	-24.1807	-20	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-4	pmag core	Sill	83.40	Botswana	Botswana 2012	-24.1807	-24	4	25.69	Intrusive
260.32	This study	Dolerite	Mogatelwane 1 Sill	PW14-5	pmag core	Sill	94.70	Botswana	Botswana 2012	-24.1807	-27	4	25.69	Intrusive
