tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:17:55.00	-262.4463051	g	72.93585855	1.70E-06	1233341	0.667	u	0.06		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:23:31.00	263.5133855	g	25.62562853	2.22E-06	1233347	0.067	u	0.07		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:23:46.00	250.9293172	g	17.04146254	1.75E-06	1233348	0.267	u	0.07		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:24:01.00	1.323323529	g	80.40090758	9.17E-07	1233349	0.467	u	0.07		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:24:16.00	-266.3160942	g	77.46861149	1.17E-06	1233350	0.667	u	0.07		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:29:59.00	264.9152415	g	29.07620756	1.80E-06	1233356	0.067	u	0.08		
This study	Botswana 2012	Kgale Peak Sill	PW2-4	PW2	PW2-4a	"PW2-4a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:30:14.00	250.9419109	g	16.55265784	1.59E-06	1233357	0.267	u	0.08		
This study	Botswana 2012	Kgale Peak Sill	PW2-8	PW2	PW2-8a	"PW2-8a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:30:30.00	-14.6329935	g	75.98250201	8.55E-07	1233358	0.467	u	0.08		
This study	Botswana 2012	Kgale Peak Sill	PW2-9	PW2	PW2-9a	"PW2-9a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:30:45.00	83.67855658	g	81.41142021	9.23E-07	1233359	0.667	u	0.08		
This study	Botswana 2012	Kgale Peak Sill	PW2-2	PW2	PW2-2a	"PW2-2a:NRM_demag(T,Hac)0"	IRM-SRM-U	LT-AF-Z	2013:04:22:16:40:42.00	265.510634	g	32.09621046	1.44E-06	1233364	0.067	u	0.09		
